Match,Ganador,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3,Red Score,Blue Score,Red Ranking,Blue Ranking
54,BLUE,3925.0,1197.0,3647.0,2102.0,599.0,599.2,66.42857142857143,74.37142857142857,0,2
55,BLUE,7102.0,5887.0,6017.0,3512.0,4.2,4414.2,60.23214285714286,75.1904761904762,0,2
56,ROJO,4414.0,3647.2,7415.0,6647.0,9282.0,7157.0,89.14285714285714,87.98214285714286,3,0
57,BLUE,589.0,3512.2,8006.2,696.2,6647.2,3128.2,55.0,57.51428571428572,0,2
58,ROJO,696.0,4322.0,5199.0,4415.0,3925.0,9084.0,92.04166666666667,76.23214285714286,3,0
59,BLUE,3647.0,1148.2,359.0,6017.0,3128.0,2659.0,106.17857142857143,121.51785714285714,1,3
60,BLUE,6647.2,1148.0,599.2,7415.0,5887.0,4276.0,30.475,58.85714285714286,0,2
61,ROJO,696.0,2102.0,4079.0,3863.0,5124.0,589.0,64.32738095238095,50.57142857142857,2,0
62,BLUE,3759.0,696.2,3512.2,4414.2,8006.0,4.0,52.92857142857143,80.34722222222223,0,2
63,ROJO,7157.0,3128.2,599.0,3512.0,6647.0,1138.0,130.55357142857142,98.96428571428572,3,0
64,BLUE,4.2,3647.2,8006.2,4414.0,973.0,4415.0,35.14285714285714,128.05357142857142,0,3
65,BLUE,1197.0,1148.0,4079.0,7102.0,9282.0,3512.2,62.39285714285714,70.57142857142857,0,2
